숙소ID,구,동,업소명,주소,위도,경도,인접도로명,인접도로폭,지도표시도로폭,도로폭_출처,도로폭_도로구간매칭,도로폭_거리m,공식도로폭m,도로폭_위험도,도로폭_속도계수,도로폭_보정이동시간초,도로폭_보정예상도착초,실폭도로ID,실폭도로일련번호,도로구간관리번호,도로명코드 
2161,용산구,이태원동,모드 하우스(Maud House),서울특별시 용산구 이태원동 245-15번지,37.53765495,126.99303565,회나무로44나길,폭6-8m,6m미만,API,교차,6.8,6.0,0.85,1.22,65,125,3349,12405,624.0,4106504
2162,용산구,이태원동,Solip house,서울특별시 용산구 이태원동 451-1번지,37.53254143,126.98830997,한강대로,폭40-50m,폭6-8m,API,교차,63.09,40.0,0.04,0.94,78,138,2794,199,2880.0,2005005
2163,용산구,서계동,제이앤제이 스테이(J&J Stay),서울특별시 용산구 서계동 245-22번지,37.54927578,126.96323757,효창원로97길,6m미만,폭6-8m,API,교차,4.87,2.0,1.0,1.3,51,111,9015,3715,2672.0,4139637
2164,용산구,서계동,파파하우스(PaPaHouse),서울특별시 용산구 서계동 246-7번지,37.54931519,126.96473273,청파로71길,폭6-8m,6m미만,API,교차,3.63,7.0,0.85,1.22,66,126,4768,171,2940.0,4106379
2165,용산구,청파동,써프서울,서울특별시 용산구 청파동1가 201-5번지,37.54618389,126.96365386,임정로,폭12-15m,폭12-15m,공식만,교차,24.82,14.0,0.45,1.04,70,130,3360,209,2858.0,3102010
2166,용산구,한남동,Song's house,서울특별시 용산구 한남동 683-7번지,37.53440339,127.00097917,대사관로11길,폭6-8m,폭6-8m,공식만,교차,17.96,7.0,0.85,1.22,67,127,4431,11431,2309.0,4106018
2167,용산구,청파동,THE SEOUL,서울특별시 용산구 청파동1가 1-8번지,37.5477566,126.96678569,청파로71길,폭6-8m,6m미만,API,교차,0.41,7.0,0.85,1.22,99,159,4768,171,2940.0,4106379
2168,용산구,,하하하,서울특별시 용산구 한강로1가 185-3번지,37.53008223,126.97370885,한강대로62길,폭10-12m,6m미만,API,교차,89.68,11.0,0.55,1.08,60,120,4986,129,2915.0,4106443
2169,용산구,용문동,스테이별밤(Stay Starry Night),서울특별시 용산구 용문동 32-132번지,37.53501431,126.95885795,원효로41길,폭8-10m,6m미만,API,교차,21.83,8.0,0.7,1.14,99,159,4305,128,1160.0,4106245
2170,용산구,후암동,남산어반하우스,서울특별시 용산구 후암동 435번지,37.55050836,126.97628829,두텁바위로1길,6m미만,6m미만,API,교차,11.26,5.0,1.0,1.3,34,94,2828,185,1024.0,4106057
2171,용산구,동자동,스패로우스튜디오,서울특별시 용산구 동자동 22-21번지,37.54701929,126.97338527,한강대로96길,폭6-8m,6m미만,API,교차,3.44,7.0,0.85,1.22,66,126,3426,275,965.0,4106460
2172,용산구,서계동,스테이 연,서울특별시 용산구 서계동 246-4번지,37.54957529,126.96444903,청파로71길,폭6-8m,6m미만,API,교차,0.0,7.0,0.85,1.22,61,121,4768,171,2940.0,4106379
2173,용산구,,코지하우스,서울특별시 용산구 원효로1가 79-1번지,37.53778672,126.9660989,원효로,폭25-30m,폭6-8m,API,교차,0.0,27.0,0.18,0.98,74,134,3063,208,2851.0,3102007
2174,용산구,청파동,서울46,서울특별시 용산구 청파동2가 33-14번지,37.54275801,126.96844433,백범로79길,폭6-8m,6m미만,API,교차,6.92,7.0,0.85,1.22,145,205,2973,415,1077.0,4106096
2175,용산구,이태원동,이태원 루프탑 BBQ STAY,서울특별시 용산구 이태원동 140-8번지,37.53035648,126.99607214,보광로,폭15-20m,6m미만,API,근접,27.94,16.0,0.35,1.02,55,115,4126,1297,2877.0,3102003
2176,용산구,이태원동,Bora Bora,서울특별시 용산구 이태원동 130-16번지,37.53061747,126.9931696,장문로,폭12-15m,6m미만,API,교차,75.95,13.0,0.45,1.04,60,120,2809,1050,160.0,3102011
2177,용산구,서계동,퍼플 게스트하우스,서울특별시 용산구 서계동 223-5번지,37.55171369,126.96776292,청파로83길,6m미만,6m미만,API,교차,4.42,3.0,1.0,1.3,114,174,4645,182,1217.0,4106389
2178,용산구,서계동,에스제이하우스,서울특별시 용산구 서계동 239-6번지,37.54977351,126.96496641,청파로71길,폭6-8m,6m미만,API,교차,8.76,7.0,0.85,1.22,68,128,4768,171,2940.0,4106379
2179,용산구,서계동,서울로스테이,서울특별시 용산구 서계동 240-26번지,37.54973422,126.96362025,효창원로98길,6m미만,6m미만,API,근접,0.0,4.0,1.0,1.3,53,113,9968,5177,2872.0,4106567
2180,용산구,한남동,아이필앳홈,서울특별시 용산구 한남동 683-71번지,37.53348307,126.99986782,대사관로6길,6m미만,6m미만,API,교차,4.96,4.0,1.0,1.3,58,118,3316,475,3193.0,4106036
2181,용산구,이태원동,Stay KANU,서울특별시 용산구 이태원동 116-12번지,37.53250184,126.99145505,장문로,폭12-15m,6m미만,API,교차,2.89,13.0,0.45,1.04,55,115,2809,1050,160.0,3102011
2182,용산구,후암동,서울바이브,서울특별시 용산구 후암동 230번지,37.54456846,126.97690695,두텁바위로,폭12-15m,6m미만,API,교차,116.91,12.0,0.45,1.04,62,122,4302,188,2910.0,3102002
2183,용산구,이태원동,다온,서울특별시 용산구 이태원동 258-260번지,37.53941513,126.99238888,회나무로28길,6m미만,6m미만,API,교차,9.6,2.0,1.0,1.3,99,159,3879,12451,267.0,4106494
2184,용산구,후암동,고릴라 타자기,서울특별시 용산구 후암동 335-10번지,37.54664469,126.97977834,두텁바위로,6m미만,6m미만,API,교차,12.39,3.0,1.0,1.3,49,109,3832,11943,500.0,3102002
2185,용산구,한남동,한남 STAY,서울특별시 용산구 한남동 732-2번지,37.53160746,126.9982412,우사단로4길,6m미만,6m미만,API,교차,0.0,4.0,1.0,1.3,58,118,3364,11745,3085.0,4106227
2186,용산구,서계동,디디 하우스,서울특별시 용산구 서계동 261-3번지,37.5488117,126.9632609,효창원로95길,6m미만,6m미만,API,교차,0.31,5.0,1.0,1.3,53,113,9478,2176,1609.0,4139636
2187,용산구,후암동,마르코 하우스,서울특별시 용산구 후암동 409-71번지,37.5442329,126.98276738,신흥로25길,6m미만,6m미만,API,교차,5.65,4.0,1.0,1.3,107,167,4537,11719,1937.0,4106197
2188,용산구,서계동,코코서울_3,서울특별시 용산구 서계동 33-233번지,37.54855821,126.96653204,청파로71길,폭6-8m,6m미만,API,교차,0.1,7.0,0.85,1.22,92,152,4768,171,2940.0,4106379
2189,용산구,서계동,서계스테이,서울특별시 용산구 서계동 267-104번지,37.54834356,126.96222683,효창원로93길,6m미만,6m미만,API,교차,11.76,4.0,1.0,1.3,46,106,4994,198,1629.0,4139635
2190,용산구,이태원동,리원 힐사이드,서울특별시 용산구 이태원동 258-330번지,37.53853708,126.99139373,회나무로26가길,6m미만,6m미만,API,교차,12.7,2.0,1.0,1.3,94,154,4031,12463,2775.0,4106491
2191,용산구,용산동,스테이 포인트,서울특별시 용산구 용산동2가 12-2번지,37.54313034,126.98635285,신흥로9길,6m미만,6m미만,API,교차,2.52,4.0,1.0,1.3,155,215,4749,11272,1139.0,4106213
2192,용산구,,박시티오,서울특별시 용산구 원효로2가 3-28번지,37.53442806,126.96472122,새창로49길,폭12-15m,6m미만,API,교차,7.06,12.0,0.45,1.04,76,136,3490,634,509.0,4106142
2193,용산구,서계동,Sori House,서울특별시 용산구 서계동 223-38번지,37.55185651,126.96711791,청파로47나길,6m미만,6m미만,API,교차,3.19,5.0,1.0,1.3,107,167,2726,1048,155.0,4106366
2194,용산구,이태원동,Nirvana,서울특별시 용산구 이태원동 19-2번지,37.52880188,126.99496862,장문로9가길,6m미만,6m미만,API,교차,31.11,5.0,1.0,1.3,98,158,4823,11333,2181.0,4106352
2195,용산구,후암동,Huam The Classy,서울특별시 용산구 후암동 55-45번지,37.54737862,126.97847277,후암로16가길,6m미만,6m미만,API,교차,0.4,5.0,1.0,1.3,30,90,4727,50,1473.0,4106571
2196,용산구,이태원동,루미하우스,서울특별시 용산구 이태원동 76-2번지,37.53043673,126.99138323,장문로,폭12-15m,6m미만,API,교차,0.0,13.0,0.45,1.04,74,134,2809,1050,160.0,3102011
2197,용산구,후암동,모던스테이,서울특별시 용산구 후암동 415-16번지,37.54396132,126.98162931,신흥로29가길,6m미만,6m미만,API,교차,1.01,4.0,1.0,1.3,101,161,4522,11718,2422.0,4106200
2198,용산구,이태원동,이태원 바이브,서울특별시 용산구 이태원동 164-4번지,37.53244808,126.99042964,장문로,폭12-15m,6m미만,API,교차,30.37,13.0,0.45,1.04,66,126,2809,1050,160.0,3102011
2199,용산구,서계동,홈어웨이 프럼 홈 서울,서울특별시 용산구 서계동 242-34번지,37.54986438,126.9637433,효창원로98길,6m미만,6m미만,API,근접,8.21,4.0,1.0,1.3,56,116,9968,5177,2872.0,4106567
2200,용산구,효창동,Bong's House,서울특별시 용산구 효창동 5-542번지,37.53853565,126.96067646,효창원로51길,6m미만,6m미만,API,교차,6.8,3.0,1.0,1.3,168,228,4096,239,1036.0,4106540
2201,용산구,이태원동,이태원재재스테이,서울특별시 용산구 이태원동 225-19번지,37.53672375,126.98971401,녹사평대로46가길,6m미만,6m미만,API,교차,0.0,3.0,1.0,1.3,94,154,3825,11449,1542.0,4106013
2202,용산구,,이촌 야드,서울특별시 용산구 한강로3가 65-330번지,37.52008371,126.96781881,이촌로64길,폭8-10m,폭8-10m,API,교차,27.88,8.0,0.7,1.14,219,279,4172,35,383.0,4106286
2203,용산구,이태원동,코코치요,서울특별시 용산구 이태원동 63-68번지,37.5300038,126.99095503,한강대로,폭40-50m,폭6-8m,API,교차,2.93,40.0,0.04,0.94,73,133,2794,199,2880.0,2005005
2204,용산구,청파동,남산연가,서울특별시 용산구 청파동1가 132-11번지,37.54622601,126.96844484,청파로47나길,6m미만,6m미만,API,교차,3.9,5.0,1.0,1.3,138,198,2726,1048,155.0,4106366
2205,용산구,보광동,헬로 코지,서울특별시 용산구 보광동 231-29번지,37.52583631,126.99739423,장문로,폭12-15m,6m미만,API,교차,4.17,13.0,0.45,1.04,74,134,2809,1050,160.0,3102011
2206,용산구,이태원동,Nine House,서울특별시 용산구 이태원동 193-77번지,37.53389463,126.9886718,한강대로,폭40-50m,폭6-8m,API,교차,3.93,40.0,0.04,0.94,71,131,2794,199,2880.0,2005005
2207,용산구,용산동,남산주택,서울특별시 용산구 용산동2가 10-19번지,37.54153328,126.98036892,두텁바위로,6m미만,6m미만,API,교차,81.36,3.0,1.0,1.3,134,194,4148,154,3113.0,3102002
2208,용산구,이태원동,빈방,서울특별시 용산구 이태원동 258-216번지,37.53847138,126.99232657,회나무로28가길,6m미만,6m미만,API,교차,4.72,5.0,1.0,1.3,86,146,3487,12435,223.0,4106493
2209,용산구,후암동,STA Stay,서울특별시 용산구 후암동 409-137번지,37.54381315,126.98197375,신흥로27길,6m미만,6m미만,API,교차,6.95,3.0,1.0,1.3,107,167,4928,11720,1546.0,4106199
2210,용산구,서계동,SEOUL STAYON,서울특별시 용산구 서계동 229-12번지,37.55062279,126.96631203,효창원로104길,6m미만,6m미만,API,교차,0.3,5.0,1.0,1.3,91,151,3432,267,2938.0,4106508
2211,용산구,신창동,마이룸인서울,서울특별시 용산구 신창동 56-16번지,37.53244176,126.95348955,원효로,폭25-30m,폭6-8m,API,교차,3.99,27.0,0.18,0.98,30,90,4633,443,2851.0,3102007
2212,용산구,용산동,HBC[온김],서울특별시 용산구 용산동2가 22-13번지,37.54097036,126.98622529,신흥로3가길,6m미만,6m미만,API,교차,26.79,4.0,1.0,1.3,174,234,3307,283,3135.0,4106208
2213,용산구,서계동,Dandi Stay,서울특별시 용산구 서계동 223-33번지,37.55172665,126.9672495,청파로47나길,6m미만,6m미만,API,교차,0.0,5.0,1.0,1.3,108,168,2726,1048,155.0,4106366
2214,용산구,용산동,해온 스테이 해방촌,서울특별시 용산구 용산동2가 29-1번지,37.54073079,126.98595579,신흥로3가길,6m미만,6m미만,API,교차,55.57,4.0,1.0,1.3,174,234,3307,283,3135.0,4106208
2215,용산구,이태원동,아르못,서울특별시 용산구 이태원동 79-42번지,37.52950823,126.99150667,녹사평대로,폭35-40m,폭6-8m,API,교차,0.0,38.0,0.08,0.95,75,135,2799,745,2870.0,2005002
2216,용산구,청파동,헤일로 스테이,서울특별시 용산구 청파동2가 71-55번지,37.54245373,126.96746362,백범로79길,폭6-8m,6m미만,API,교차,60.64,7.0,0.85,1.22,145,205,2973,415,1077.0,4106096
2217,용산구,이태원동,Sunlit Stay,서울특별시 용산구 이태원동 57-50번지,37.53174794,126.98883734,한강대로,폭40-50m,폭6-8m,API,교차,73.68,40.0,0.04,0.94,77,137,2794,199,2880.0,2005005
2218,용산구,서계동,달별정원,서울특별시 용산구 서계동 251-17번지,37.54853858,126.96462102,청파로71길,폭6-8m,6m미만,API,교차,0.0,7.0,0.85,1.22,68,128,4768,171,2940.0,4106379
2219,용산구,이태원동,Hwa San Co,서울특별시 용산구 이태원동 260-261번지,37.53833596,126.99069499,회나무로12나길,6m미만,6m미만,API,교차,0.0,5.0,1.0,1.3,99,159,3435,12407,157.0,4106485
2220,용산구,효창동,블리크스틸(Blikstille),서울특별시 용산구 효창동 5-516번지,37.53925952,126.95878107,효창원로,폭20-25m,폭20-25m,공식만,교차,0.0,20.0,0.25,1.0,134,194,3261,216,2869.0,3005022
2221,용산구,후암동,남산스테이,서울특별시 용산구 후암동 105-19번지,37.54587873,126.97651699,두텁바위로,폭12-15m,6m미만,API,교차,12.64,12.0,0.45,1.04,46,106,4302,188,2910.0,3102002
2222,용산구,동자동,연 스테이,서울특별시 용산구 동자동 3-5번지,37.54975691,126.97497425,한강대로102길,6m미만,6m미만,API,교차,12.72,5.0,1.0,1.3,42,102,4944,290,100.0,4106397
2223,용산구,,Cozy Stay Seoul,서울특별시 용산구 한강로3가 40-291번지,37.52227695,126.96046905,강변북로,폭50-70m,폭50-70m,공식만,교차,0.8,50.0,0.0,0.93,119,179,2979,1,3189.0,3196001
2224,용산구,용산동,남산집,서울특별시 용산구 용산동2가 34-17번지,37.54066283,126.98387492,신흥로3가길,폭6-8m,6m미만,API,교차,84.26,6.0,0.85,1.22,156,216,3363,286,609.0,4106208
2225,용산구,서계동,스윗미 1949,서울특별시 용산구 서계동 95-22번지,37.54897354,126.9669878,청파로71길,폭6-8m,6m미만,API,교차,0.41,7.0,0.85,1.22,95,155,4768,171,2940.0,4106379
2226,용산구,이태원동,남산하우스,서울특별시 용산구 이태원동 253-7번지,37.53781303,126.98984938,녹사평대로46길,6m미만,6m미만,API,교차,4.31,5.0,1.0,1.3,101,161,4649,12110,86.0,4106014
2227,용산구,후암동,더 컬렉티브 후암,서울특별시 용산구 후암동 198-2번지,37.54386235,126.97672516,두텁바위로,폭12-15m,6m미만,API,교차,191.54,12.0,0.45,1.04,73,133,4302,188,2910.0,3102002
2228,용산구,서계동,현스네스트,서울특별시 용산구 서계동 95-20번지,37.54906679,126.96703408,청파로71길,폭6-8m,6m미만,API,교차,5.51,7.0,0.85,1.22,95,155,4768,171,2940.0,4106379
2229,용산구,동자동,아인하우스,서울특별시 용산구 동자동 22-29번지,37.54694103,126.97291063,한강대로96길,6m미만,6m미만,API,교차,0.0,4.0,1.0,1.3,77,137,3476,273,2134.0,4106460
2230,용산구,,쓰리코너스,서울특별시 용산구 한강로1가 242번지,37.53130671,126.97223354,한강대로62길,폭10-12m,6m미만,API,교차,8.49,11.0,0.55,1.08,40,100,4986,129,2915.0,4106443
2231,용산구,서계동,엘하우스,서울특별시 용산구 서계동 33-224번지,37.54921377,126.96670114,청파로71길,폭6-8m,6m미만,API,교차,6.03,7.0,0.85,1.22,92,152,4768,171,2940.0,4106379
2232,용산구,이태원동,이태원하우스,서울특별시 용산구 이태원동 704번지,37.5366537,126.98691272,녹사평대로42길,6m미만,6m미만,API,교차,0.0,4.0,1.0,1.3,129,189,3922,133,392.0,4106012
2233,용산구,청파동,스테이 서울스테이션(Stay SeoulStation),서울특별시 용산구 청파동1가 33-1번지,37.54712594,126.96785394,청파로47나길,6m미만,6m미만,API,교차,1.76,5.0,1.0,1.3,124,184,2726,1048,155.0,4106366
2234,용산구,이태원동,소유 하우스(Soyou Haus),서울특별시 용산구 이태원동 210-41번지,37.53653296,126.99265493,이태원로27다길,폭8-10m,폭6-8m,API,교차,7.05,8.0,0.7,1.14,50,110,3932,141,659.0,4106311
2235,용산구,이태원동,우드 그린 하우스,서울특별시 용산구 이태원동 224-12번지,37.5359855,126.98852868,녹사평대로40나길,6m미만,6m미만,API,교차,8.61,2.0,1.0,1.3,104,164,4669,11590,682.0,4106010
2236,용산구,동자동,URin,서울특별시 용산구 동자동 9-21번지,37.55008563,126.97385117,두텁바위로1길,6m미만,6m미만,API,교차,13.4,5.0,1.0,1.3,58,118,2828,185,1024.0,4106057
2237,용산구,이태원동,경리단집,서울특별시 용산구 이태원동 210-23번지,37.53677735,126.99219572,이태원로27다길,폭8-10m,폭6-8m,API,교차,10.07,8.0,0.7,1.14,57,117,3932,141,659.0,4106311
2238,용산구,갈월동,Give warm,서울특별시 용산구 갈월동 7-199번지,37.54401131,126.97340509,한강대로72길,폭6-8m,6m미만,API,교차,13.58,7.0,0.85,1.22,99,159,2814,1046,3162.0,4106448
2239,용산구,서계동,문스테이(MOON스테이),서울특별시 용산구 서계동 33-84번지,37.54942177,126.96669676,청파로71길,폭6-8m,6m미만,API,교차,11.57,7.0,0.85,1.22,90,150,4768,171,2940.0,4106379
2240,용산구,후암동,황금하우스,서울특별시 용산구 후암동 1-37번지,37.54954844,126.97679182,두텁바위로1길,6m미만,6m미만,API,교차,0.0,5.0,1.0,1.3,17,77,2828,185,1024.0,4106057
2241,용산구,용산동,잘예니컨설팅,서울특별시 용산구 용산동2가 1-728번지,37.54224321,126.98126956,두텁바위로,6m미만,6m미만,API,교차,164.2,3.0,1.0,1.3,126,186,4148,154,3113.0,3102002
2242,용산구,후암동,Kaki namu,서울특별시 용산구 후암동 27-1번지,37.54825925,126.97728048,후암로15길,6m미만,6m미만,API,교차,0.0,4.0,1.0,1.3,16,76,2898,330,1925.0,4106570
2243,용산구,이태원동,이태원 루트 스테이,서울특별시 용산구 이태원동 258-128번지,37.53827016,126.99345102,회나무로44다길,폭6-8m,폭6-8m,API,교차,5.01,7.0,0.85,1.22,71,131,4683,12408,1305.0,4106505
2244,용산구,후암동,햅 브릿지(hap bridge),서울특별시 용산구 후암동 105-195번지,37.54693377,126.97608829,두텁바위로1나길,6m미만,6m미만,API,교차,0.63,5.0,1.0,1.3,43,103,4691,187,2381.0,4106058
2245,용산구,이태원동,STAY JOY,서울특별시 용산구 이태원동 258-198번지,37.53966069,126.99211485,회나무로,6m미만,6m미만,API,교차,4.18,4.0,1.0,1.3,105,165,3693,11542,1816.0,3102012
2246,용산구,갈월동,갈월 스테이(Galwol Stay),서울특별시 용산구 갈월동 5-28번지,37.54624897,126.97194897,한강대로,폭40-50m,폭6-8m,API,교차,0.0,40.0,0.04,0.94,68,128,2794,199,2880.0,2005005
2247,용산구,서계동,행운의 집,서울특별시 용산구 서계동 114번지,37.54746671,126.96747708,청파로47나길,폭6-8m,6m미만,API,교차,0.16,6.0,0.85,1.22,109,169,3174,46,1066.0,4106366
2248,용산구,한남동,Bella 하우스,서울특별시 용산구 한남동 683-4번지,37.534514,127.00105424,대사관로7길,6m미만,6m미만,공식만,교차,24.28,5.0,1.0,1.3,72,132,3106,12146,2031.0,4106037
2249,용산구,이태원동,ONDO 이태원,서울특별시 용산구 이태원동 136-15번지,37.53105757,126.99580797,보광로,6m미만,6m미만,API,교차,1.45,4.0,1.0,1.3,57,117,4130,1296,1833.0,3102003
2250,용산구,후암동,KHAN,서울특별시 용산구 후암동 412-20번지,37.54423744,126.98177581,신흥로29가길,6m미만,6m미만,API,교차,1.35,4.0,1.0,1.3,99,159,4522,11718,2422.0,4106200
2251,용산구,이태원동,리원 알파,서울특별시 용산구 이태원동 260-29번지,37.53903073,126.991276,회나무로26가길,6m미만,6m미만,API,교차,7.23,4.0,1.0,1.3,101,161,4500,12414,2972.0,4106491
2252,용산구,이태원동,하하,서울특별시 용산구 이태원동 215-67번지,37.53588324,126.99039008,이태원로19길,6m미만,6m미만,API,교차,11.7,4.0,1.0,1.3,79,139,2937,305,2425.0,4106303
2253,용산구,서계동,마야,서울특별시 용산구 서계동 103번지,37.54777809,126.96766294,청파로47나길,폭6-8m,6m미만,API,교차,5.09,6.0,0.85,1.22,109,169,3174,46,1066.0,4106366
2254,용산구,,다미스테이,서울특별시 용산구 원효로1가 108-38번지,37.53843888,126.96891273,백범로87길,폭8-10m,6m미만,API,교차,3.79,8.0,0.7,1.14,72,132,2902,186,1147.0,4106100
2255,용산구,이태원동,나이브 하우스,서울특별시 용산구 이태원동 166-5번지,37.53258983,126.99017275,녹사평대로,폭35-40m,폭6-8m,API,교차,42.06,38.0,0.08,0.95,61,121,2799,745,2870.0,2005002
2256,용산구,한남동,메이시맨숀,서울특별시 용산구 한남동 683-49번지,37.53347743,127.00041813,대사관로8길,6m미만,6m미만,공식만,교차,8.66,3.0,1.0,1.3,65,125,4047,11865,1347.0,4106038
2257,용산구,후암동,Cozy Home,서울특별시 용산구 후암동 140-16번지,37.54510642,126.97476565,두텁바위로,폭12-15m,6m미만,API,근접,27.85,12.0,0.45,1.04,63,123,4836,1218,2910.0,3102002
2258,용산구,이태원동,제임스하우스(James house),서울특별시 용산구 이태원동 260-135번지,37.53869709,126.99000349,회나무로12길,6m미만,6m미만,API,교차,0.0,3.0,1.0,1.3,109,169,4977,12406,1178.0,4106484
2259,용산구,보광동,도담도담,서울특별시 용산구 보광동 265-406번지,37.52848677,126.99721925,보광로31길,6m미만,6m미만,API,근접,7.13,4.0,1.0,1.3,104,164,2807,12009,876.0,4106118
2260,용산구,후암동,소리 스테이,서울특별시 용산구 후암동 392-8번지,37.54501193,126.98051573,신흥로29길,6m미만,6m미만,API,교차,83.71,4.0,1.0,1.3,78,138,3661,11717,2189.0,4106201
2261,용산구,갈월동,게스트하우스,서울특별시 용산구 갈월동 6-40번지,37.54652196,126.97232501,두텁바위로1길,6m미만,6m미만,API,교차,1.54,5.0,1.0,1.3,87,147,2828,185,1024.0,4106057
2262,용산구,이태원동,쥴리네 집,서울특별시 용산구 이태원동 131-18번지,37.53042825,126.99387361,장문로,폭12-15m,6m미만,API,교차,64.79,13.0,0.45,1.04,59,119,2809,1050,160.0,3102011
2263,용산구,이태원동,Luxe house,서울특별시 용산구 이태원동 336-1번지,37.53440973,126.98687529,이태원로,폭12-15m,6m미만,API,교차,3.31,13.0,0.45,1.04,99,159,3608,214,2874.0,3102009
2264,용산구,이태원동,Stunning house,서울특별시 용산구 이태원동 455-36번지,37.53183346,126.98744564,한강대로,폭40-50m,폭6-8m,API,교차,170.1,40.0,0.04,0.94,89,149,2794,199,2880.0,2005005
2265,용산구,보광동,발코니 하우스,서울특별시 용산구 보광동 342번지,37.52414312,126.99803257,서빙고로91다길,6m미만,6m미만,API,교차,32.25,3.0,1.0,1.3,70,130,3773,59,2786.0,4106167
2266,용산구,동자동,다다하우스(Dada House),서울특별시 용산구 동자동 9-3번지,37.55032379,126.97409733,두텁바위로1길,6m미만,6m미만,API,교차,0.0,5.0,1.0,1.3,56,116,2828,185,1024.0,4106057
2267,용산구,서계동,CLAIR,서울특별시 용산구 서계동 223-71번지,37.55159209,126.96658525,청파로71가길,폭6-8m,6m미만,API,교차,8.34,6.0,0.85,1.22,92,152,4523,181,1095.0,4106378
2268,용산구,이태원동,아이보리,서울특별시 용산구 이태원동 128-6번지,37.53126467,126.99271972,장문로,폭12-15m,6m미만,API,교차,43.99,13.0,0.45,1.04,55,115,2809,1050,160.0,3102011
2269,용산구,후암동,남산가옥,서울특별시 용산구 후암동 56-8번지,37.54734177,126.97760355,두텁바위로1나길,6m미만,6m미만,API,교차,0.0,5.0,1.0,1.3,29,89,4691,187,2381.0,4106058
2270,용산구,서계동,송송송  서울 스테이,서울특별시 용산구 서계동 223-20번지,37.5514146,126.96745291,청파로47나길,6m미만,6m미만,API,교차,3.69,5.0,1.0,1.3,109,169,2726,1048,155.0,4106366
2271,용산구,한남동,한남스테이,서울특별시 용산구 한남동 726-345번지,37.54111269,127.00275685,삼일대로,폭50-70m,6m미만,API,교차,13.52,110.0,0.0,0.93,108,168,2864,12619,3143.0,2100001
2272,용산구,이태원동,사운즈 인(SOUNDS INN),서울특별시 용산구 이태원동 34-91번지,37.53093633,126.98862289,한강대로,폭40-50m,폭6-8m,API,교차,136.7,40.0,0.04,0.94,84,144,2794,199,2880.0,2005005
2273,용산구,청파동,mila house 2,서울특별시 용산구 청파동1가 1-117번지,37.54757952,126.96459717,임정로,폭12-15m,폭12-15m,공식만,교차,37.02,14.0,0.45,1.04,63,123,3360,209,2858.0,3102010
2274,용산구,용산동,두루미네,서울특별시 용산구 용산동2가 5-1232번지,37.54099769,126.98277786,신흥로3가길,폭6-8m,6m미만,API,교차,151.56,6.0,0.85,1.22,145,205,3363,286,609.0,4106208
2275,용산구,용산동,금월당,서울특별시 용산구 용산동2가 1-1381번지,37.5435402,126.98203103,신흥로27길,6m미만,6m미만,API,교차,35.97,3.0,1.0,1.3,110,170,4928,11720,1546.0,4106199
2276,용산구,동빙고동,이스트빙고,서울특별시 용산구 동빙고동 232-4번지,37.51935551,126.99409347,한강대로,폭40-50m,폭6-8m,API,교차,0.0,40.0,0.04,0.94,21,81,2794,199,2880.0,2005005
2277,용산구,후암동,Cozy home in Namsan,서울특별시 용산구 후암동 49-34번지,37.54724828,126.97961953,후암로4길,6m미만,6m미만,API,교차,0.43,4.0,1.0,1.3,39,99,3230,262,1364.0,4106593
2278,용산구,용산동,매버릭스 게스트하우스,서울특별시 용산구 용산동2가 26-6번지,37.54071299,126.98738642,한강대로,폭40-50m,폭6-8m,API,교차,5.06,40.0,0.04,0.94,116,176,2794,199,2880.0,2005005
2279,용산구,후암동,스테이 흰,서울특별시 용산구 후암동 60-35번지,37.54772706,126.97682006,두텁바위로1가길,폭6-8m,폭6-8m,API,교차,18.73,6.0,0.85,1.22,24,84,4079,109,228.0,4106056
2280,용산구,이촌동,The R Story,서울특별시 용산구 이촌동 400번지,37.52057402,126.9567891,이촌한강공원길,6m미만,6m미만,공식만,교차,128.13,2.0,1.0,1.3,172,232,3138,1058,3402.0,4864714
2281,용산구,후암동,serene seoul,서울특별시 용산구 후암동 156-7번지,37.54454759,126.9747256,두텁바위로,폭12-15m,6m미만,API,근접,88.81,12.0,0.45,1.04,71,131,4836,1218,2910.0,3102002
2282,용산구,용산동,로로스테이해방촌,서울특별시 용산구 용산동2가 39-10번지,37.53954165,126.98589536,신흥로,6m미만,6m미만,API,교차,24.88,4.0,1.0,1.3,164,224,4415,12060,1851.0,3102005
2283,용산구,서계동,서계스테이,서울특별시 용산구 서계동 223-13번지,37.55168954,126.96760416,청파로83길,6m미만,6m미만,API,교차,2.95,3.0,1.0,1.3,112,172,4645,182,1217.0,4106389
2284,용산구,,단아,서울특별시 용산구 한강로3가 40-379번지,37.52169003,126.96049135,서빙고로62길,폭8-10m,폭10-12m,API,교차,13.3,9.0,0.7,1.14,154,214,3771,463,3156.0,4106155
2285,용산구,청파동,Good Stay,서울특별시 용산구 청파동3가 121-24번지,37.54042514,126.96834723,원효로83길,폭10-12m,6m미만,API,교차,1.32,10.0,0.55,1.08,97,157,3296,136,451.0,4106261
2286,용산구,효창동,소요 서울,서울특별시 용산구 효창동 3-118번지,37.54030523,126.95777789,백범로,폭25-30m,폭25-30m,공식만,교차,36.74,27.0,0.18,0.98,128,188,4251,411,3052.0,3005016
2287,용산구,후암동,서울 게스트하우스,서울특별시 용산구 후암동 446-18번지,37.55074223,126.97622697,두텁바위로1길,6m미만,6m미만,API,교차,3.53,5.0,1.0,1.3,38,98,2828,185,1024.0,4106057
