서별,명칭,위치,관할구역,전화번호,팩스번호
구로소방서,구로119안전센터,구로구 구로동로 175 (구로동),"구로구 중 : 구로동(구로1동, 구로2동 중 387~390, 392, 589, 590~607, 609~614, 636, 640, 706~729, 808~809, 1258, 1262번지 제외), 구로4동 중 731~736, 760번지, 구로5동 중 1~5, 7~9, 11~12, 22, 560~563, 565~569, 580, 584~588, 1261, 1263, 1267 제외)",02-6981-6384,02-864-0119
구로소방서,수궁119안전센터,구로구 오리로 1285 (궁동),"구로구중 : 오류동, 천왕동, 항동, 궁동, 온수동",02-6981-6372,02-2613-0119
구로소방서,신도림119안전센터,구로구 경인로59길 57 (신도림동),"구로구 중 : 신도림동, 구로2동(구로2동 중 589, 590~607, 609~614, 636, 640, 1258, 1262번지), 구로5동(구로5동 중 1~5, 7~9, 11~12, 22, 506~563, 565~569, 580, 584~588, 1261, 1263, 1267)",02-6981-6390,02-2671-2119
금천소방서,금천119안전센터,금천구 독산동 1054-8번지," 금천구중 : 가산동, 독산동",02-6981-6541,02-2187-8384
금천소방서,시흥119안전센터,금천구 시흥대로45길 31 (시흥동), 금천구중 : 시흥동,02-6981-6551,02-2187-8385
노원소방서,공릉119안전센터,노원구 화랑로 482 (공릉동),노원구중 : 공릉1ㆍ2동,02-6981-6979,02-2187-8296
노원소방서,상계119안전센터,노원구 노원로26길 111 (상계동),"노원구중 : 상계2ㆍ3ㆍ4ㆍ5동, 중계1ㆍ4동",02-6981-6969,02-2187-8295
노원소방서,수락119안전센터,노원구 동일로 1694 (상계동),노원구중 : 상계1동ㆍ8동ㆍ9동ㆍ10동,02-6981-6999,02-2187-8298
노원소방서,월계119안전센터,노원구 월계로 323 (월계동),노원구중 : 월계1ㆍ2ㆍ3동,02-6981-6989,02-2187-8297
노원소방서,하계119안전센터,노원구 한글비석로1길 8 (하계동),"노원구중 : 하계1ㆍ2동, 중계본동, 중계2ㆍ3동, 상계6ㆍ7동",02-6981-6940,02-2187-8294
도봉소방서,도봉119안전센터,도봉구 도봉산길 40 (도봉동),"도봉구중 : 도봉동(도봉1ㆍ2동), 방학2동",02-6981-8182,02-2187-8277
도봉소방서,방학119안전센터,도봉구 도봉로 666 (방학동),"도봉구중 : 방학동[방학1동], 창동[창4동(26~33, 35, 38, 762, 766, 770, 722, 773, 775~777, 783, 788, 789, 790, 795, 797 제외), 창5동], 쌍문2동",02-6981-8180,02-2187-8276
도봉소방서,쌍문119안전센터,도봉구 노해로 152 (쌍문동),"도봉구중 : 방학3동, 쌍문1,3,4동",02-6981-8186,02-2187-8279
도봉소방서,창동119안전센터,도봉구 해등로  25 (창동),"도봉구중 : 창동[창1동?3동, 창4동중 26~33, 35, 38, 762, 766, 770, 772, 773, 775~777, 783, 788~790, 795, 797번지] ",02-6981-8184,02-2187-8278
동대문소방서,용두119안전센터,동대문구 왕산로 76 (용두동),"동대문구중 : 용신동, 제기동",02-6942-1371,02-2187-8188
동대문소방서,장안119안전센터,동대문구 장한로 34 (장안동),"동대문구중 : 장안동, 답십리동(답십리2동)",02-6942-1352,02-2187-8184
동대문소방서,전농119안전센터,동대문구 황물로 3 (전농동),"동대문구중 : 전농동(전농1ㆍ2동), 답십리동 (답십리1동),",02-6942-1366,02-2187-8187
동대문소방서,청량리119안전센터,동대문구 왕산로 299 (청량리동),"동대문구중 : 청량리동, 회기동, 이문동[이문1동 중 255의(6, 12, 13, 15, 63, 65~116, 124, 126, 130~135, 259, 284, 288~341, 344, 347, 354~358, 367, 376~379, 396, 416호), 257, 262~264, 266~287, 288의(39~71, 74, 94호), 290, 291, 292의 4호, 305의(6~146, 154호), 306~351, 375~426]",02-6942-1361,02-2187-8186
동대문소방서,휘경119안전센터,동대문구 망우로 106 (휘경동),"동대문구중 : 휘경동, 이문동[이문1동 중 255의(6, 12, 13, 15, 63, 65~116, 124, 126, 130~135, 259, 284, 288~341, 344, 347, 354~358, 367, 376~379, 396, 416호), 257, 262~264, 266~287, 288의(39~71, 74, 94호), 290, 291, 292의 4호, 305의(6~146, 154호), 306~351, 375~426번지 제외], 이문2동",02-6942-1376,02-2187-8189
동작소방서,노량진119안전센터,동작구 노량진로 187 (노량진동),"동작구중 : 흑석동, 노량진동(노량진1ㆍ2동), 사당동[사당2동(44-20~1137 신동아 일대)]",02-6913-7881,02-813-5119
동작소방서,동작119안전센터,동작구 여의대방로16길 55(신대방동),"동작구중 : 신대방동(신대방1ㆍ2동), 대방동",02-6913-7871,02-847-0900
동작소방서,백운119안전센터,동작구 사당로 63 (상도동),"동작구중 : 상도1동, 사당동[사당1ㆍ3ㆍ4ㆍ5동, 사당2동(105 극동?147-106 일대)]",02-6913-7895,02-816-0709
동작소방서,상도119안전센터,동작구 국사봉1길 17 (상도동),동작구중 : 상도동(상도2ㆍ3ㆍ4동),02-6913-7888,02-825-0693
마포소방서,공덕119안전센터,마포구 만리재옛길 82 (공덕동),"마포구중 : 공덕동, 신공덕동, 아현동",02-3274-0976,02-2187-8268
마포소방서,상암119안전센터,마포구 월드컵북로 42길 34 (상암동),마포구중 : 상암동,02-309-5119,02-2187-8269
마포소방서,서교119안전센터,마포구 양화로 60 (서교동),"마포구중 : 동교동, 서교동, 연남동, 합정동, 망원동(망원1동)",02-3143-2119,02-2187-8266
마포소방서,성산119안전센터,마포구 월드컵북로 240 (성산동),"마포구중 : 망원동(망원2동), 성산동, 중동",02-304-0119,02-2187-8267
마포소방서,신수119안전센터,마포구 창전로 76 (신수동),"마포구중 : 대흥동, 노고산동, 신수동, 구수동, 현석동, 창전동, 상수동, 하중동, 신정동, 당인동",02-6981-7931,02-2187-8264
마포소방서,염리119안전센터,마포구 토정로 37길 27 (염리동),"마포구중 : 도화동, 마포동, 염리동, 용강동, 토정동",02-713-0965,02-2187-8265
서대문소방서,북가좌119안전센터,서대문구 증가로 242 (북가좌동),"서대문구중 : 북가좌1ㆍ2동, 남가좌1ㆍ2동",02-6981-5531,02-2187-8356
서대문소방서,북아현119안전센터,서대문구 북아현로 37 (북아현동),"서대문구중 : 현저동, 냉천동, 천연동, 옥천동, 영천동, 충정로 2ㆍ3가동, 합동, 미근동, 북아현 1~3동",02-6981-5551,02-2187-8358
서대문소방서,연희119안전센터,서대문구 연희로 182 (연희동),"서대문구중 : 봉원동, 신촌동, 대신동, 대현동, 창천동, 연희동",02-6981-5521,02-2187-8354
서대문소방서,홍은119안전센터,서대문구 홍은중앙로 83 (홍은동),"서대문구중 : 홍은동, 홍제동",02-6981-5541,02-2187-8357
서초소방서,반포119안전센터, 서초구 사평대로 67 (반포동),"서초구중 : 반포동[반포본ㆍ2ㆍ3동, 반포4동(19, 57, 63~65, 68, 69, 71, 72, 74, 75, 77~111, 520, 535, 547, 549~551, 577, 590, 610, 612번지), 방배동(방배본동ㆍ4동)",02-6981-5999,02-2187-8234
서초소방서,방배119안전센터,서초구 남부순환로 2155 (방배동),서초구중 : 방배동(방배1~3동),02-6981-5970,02-2187-8235
서초소방서,서초119안전센터,서초구 효령로 400 (서초동),"서초구 중 : 서초1동(서초1동 중 다음번지 제외 : 360, 362~364, 374, 376~379, 381~384, 390, 400, 402, 409~411, 413, 418, 430, 431, 산30~31ㆍ36ㆍ49~53), 서초2동(서초2동 중 다음번지 제외 : 255~258, 261, 263, 265~272, 275, 278, 367, 369, 370, 산21~30), 서초3동 (서초3동 중 다음번지 제외 : 1420~1541, 1700, 1702~1720, 1725, 1727~1735, 1741~1742, 산121~125ㆍ 133~146ㆍ413~414)",02-6981-5985,02-2187-8237
서초소방서,양재119안전센터,서초구 동산로 9 (양재동),"서초구중 : 양재동(양재1동중1~20번지, 양재2동), 염곡동, 원지동, 신원동, 내곡동",02-6981-5980,02-2187-8236
서초소방서,우면119안전센터,서초구 남부순환로340길 49 (서초동),"서초구 중 : 우면동, 양재1동(양재1동 중 1~20번지 제외), 서초1동 (서초1동 중 360, 362~364, 374, 376~379, 381~384, 390, 400, 402, 409~411, 413, 418, 430, 431, 산30~31ㆍ36ㆍ49~53), 서초2동(서초2동 중 255~258, 261, 263, 265~272, 275, 278, 367, 369, 370, 산21~30), 서초3동(서초3동 중 1420~1541, 1741~1742, 산121~125, 133~146ㆍ413~414)",02-6981-5995,02-2187-8239
서초소방서,잠원119안전센터,서초구 서초중앙로29길 6 (반포동),"서초구중 : 잠원동, 반포1동, 반포4동 (반포4동중 다음번지 제외 : 19, 57, 63~65, 68, 69, 71, 72, 74, 75, 77~111, 520, 535, 547, 549~551, 577, 590, 610, 612), 서초3동(서초3동중 1700, 1702~1720, 1725, 1727~1735), 서초4동",02-6981-5990,02-2187-8238
성동소방서,금호119안전센터,성동구 난계로 19 (금호동1가),"성동구중 : 옥수동, 금호동1~4가",02-2622-1771,02-2622-1779
성동소방서,성수119안전센터,성동구 뚝섬로 452 (성수동2가),"성동구중 : 성수동2가, 송정동",02-2622-1751,02-2622-1759
성동소방서,왕십리119안전센터,성동구 고산자로 249 (도선동),"성동구중 : 하왕십리동, 상왕십리동, 마장동, 홍익동, 도선동, 용답동",02-2622-1761,02-2622-1769
성동소방서,행당119안전센터,성동구 살곶이길 331(행당동),"성동구중 : 행당동, 사근동, 응봉동, 성수동1가",02-2622-1740,02-2622-1749
성북소방서,길음119안전센터,성북구 정릉로 321 (길음동),"성북구중 : 정릉동, 길음동",02-6981-7372,02-2187-8208
성북소방서,돈암119안전센터,성북구 보문로 192 (삼선동4가),"성북구중 : 돈암동(돈암2동), 삼선동(삼선1ㆍ2동), 성북동, 보문동, 동선동(동선1ㆍ2동), 동소문동",02-6981-7361,02-2187-8207
성북소방서,장위119안전센터,성북구 한천로 640 (장위동),"성북구중 : 장위동, 석관동",02-6981-7383,02-2187-8209
성북소방서,종암119안전센터, 성북구 종암로27길 3 (종암동),"성북구중 : 종암동, 상월곡동, 하월곡동, 안암동, 돈암동(돈암1동)",02-6981-7351,02-2187-8205
송파소방서,가락119안전센터,송파구 양재대로 932 (가락동),"송파구중 : 가락본동, 가락1동, 문정2동, 송파2동",02-6981-5396,02-2187-8319
송파소방서,거여119안전센터,송파구 마천로 329 (마천동),"송파구중 : 거여동(거여1ㆍ2동), 마천동(마천1동, 마천2동 : 마천2동중 29-1 제외)",02-6981-5363,02-2187-8315
송파소방서,마천119안전센터,송파구 오금로51길 56 (마천동),"송파구중 : 오금동, 가락동(가락2동), 문정1동, 장지동, 마천동 (마천2동중 29-1번지)",02-6981-5343,02-2187-8314
송파소방서,방이119안전센터,송파구 강동대로 286 (방이동),"송파구중 : 방이동(방이1ㆍ2동), 풍납동 (풍납1ㆍ2동), 오륜동",02-6981-5373,02-2187-8316
중랑소방서,중화119안전센터,중랑구 동일로 783 (중화동),"중랑구중 : 중화동, 상봉동, 묵동(묵2동)",02-6981-8982,02-2207-0119
송파소방서,잠실119안전센터,송파구 석촌호수로 151 (잠실동),"송파구중 : 잠실동[잠실3동(잠실주공5단지아파트 제외), 잠실4ㆍ6동], 삼전동, 석촌동, 송파동(송파1동)",02-6981-5383,02-2187-8317
송파소방서,종합운동장119안전센터,송파구 올림픽로 25 (잠실동),"송파구중 : 잠실동[잠실본동, 잠실2동, 잠실3동 (잠실주공5단지아파트 구역만 해당), 잠실7동]",02-6981-5391,02-2187-8318
양천소방서,목동119안전센터,양천구 안양천로 1139 (목동),"양천구중 : 목동[목2ㆍ3동, 목5동 중 (191, 900~902, 909~911, 929)]",02-6981-8765,02-2187-8326
양천소방서,신월119안전센터,양천구 남부순환로 448 (신월동),양천구중 : 신월동(신월1ㆍ3ㆍ5ㆍ7동),02-6981-8790,02-2187-8327
양천소방서,신정119안전센터,양천구 신월로 268 (신정동),"양천구중 : 신정동[신정1동, 신정3동 중 (1147~1220, 1304), 신정4동 중(943~1013, 1302)], 신월동(신월2ㆍ4동)",02-6981-8760,02-2187-8325
양천소방서,신트리119안전센터,양천구 신정로 238 (신정동),"양천구중 : 신정동[신정3동 중(1147~1220, 1304 제외), 신정6ㆍ7동], 신월동(신월6동)",02-6981-8795,02-2187-8328
양천소방서,양천119안전센터,양천구 목동서로 180 (목동),"양천구중 : 목동[(목1ㆍ4동, 목5동 중(903~908, 912~913)], 신정동[신정2동, 신정4동 중 (872~942, 1305, 1308)]",02-6981-8750,02-2187-8324
영등포소방서,당산119안전센터,영등포구 양평로 70-1 (당산동6가),"영등포구중 : 당산동(당산1ㆍ2동), 양평동(양평1ㆍ2동)",02-6981-7185,02-2187-8196
영등포소방서,대림119안전센터,영등포구 도림로 212 (신길동),"영등포구중 : 대림동, 신길동(신길5ㆍ6동)",02-6981-7193,02-2187-8197
영등포소방서,신길119안전센터,영등포구 영등포로84길 31 (신길동),영등포구중 : 신길동(신길1ㆍ2ㆍ4ㆍ7동),02-6981-7196,02-2187-8198
영등포소방서,여의도119안전센터,영등포구 의사당대로 162 (여의도동),영등포구중 : 여의도동,02-6981-7176,02-2187-8195
영등포소방서,영등포119안전센터,영등포구 문래로 197 (영등포동4가),"영등포구중 : 영등포동(영등포1~3동), 도림동, 문래동(문래1ㆍ2동), 신길동(신길3동)",02-6981-7004,02-2187-8194
용산소방서,서빙고119안전센터,용산구 서빙고로67길 7(서빙고동),"용산구중 : 서빙고동, 이촌동(이촌1동), 주성동, 용산동6가, 동빙고동",02-6943-1570,02-2187-8178
용산소방서,이촌119안전센터,용산구 이촌로2가길 1 (이촌동),"용산구중 : 도원동, 용문동, 청암동, 산천동, 신창동, 원효로3ㆍ4가, 한강로3가, 이촌동(이촌2동)",02-6943-1560,02-2187-8177
용산소방서,이태원119안전센터,용산구 이태원로 196 (이태원동),"용산구중 : 이태원동, 한남동, 보광동",02-6943-1540,02-2187-8175
용산소방서,한강로119안전센터,용산구 한강대로 167 (한강로2가),"용산구중 : 서계동, 청파동1~3가, 갈월동, 효창동, 남영동, 원효로1ㆍ2가, 한강로1ㆍ2가, 신계동, 문배동, 용산동3~5가",02-6943-1520,02-2187-8174
용산소방서,후암119안전센터,용산구 후암로 34 (후암동),"용산구중 : 동자동, 후암동, 용산동1ㆍ2가",02-6943-1550,02-2187-8176
은평소방서,녹번119안전센터, 은평구 은평로 245 (녹번동),"은평구중 : 녹번동, 응암동(응암1ㆍ2ㆍ3동)",02-6981-6170,02-2187-8215
은평소방서,수색119안전센터,은평구 수색로 320 (수색동),"은평구중 : 신사동(신사1ㆍ2동), 수색동, 증산동",02-6981-6191,02-2187-8217
은평소방서,역촌119안전센터,은평구 갈현로 80 (역촌동),"은평구중 : 역촌동, 구산동, 갈현동(갈현2동)",02-6981-6181,02-356-0674
은평소방서,진관119안전센터,은평구 통일로 962(진관동),"은평구중 : 진관동, 갈현동(갈현1동), 대조동, 불광동(불광1ㆍ2동)",02-6981-6151,02-389-0674
종로소방서,세종로119안전센터,종로구 종로1길 28 (수송동),"종로구중 : 중학동, 수송동, 견지동, 관훈동, 청진동, 공평동, 종로1가, 서린동, 내자동, 적선동, 평  동, 송월동, 도렴동, 당주동, 내수동,  신문로1ㆍ2가, 세종로동, 소격동, 사간동, 송현동, 종로2가, 인사동, 관철동, 삼청동, 팔판동, 안국동",02-6981-5740,02-2187-8144
종로소방서,숭인119안전센터,종로구 숭인동길 63 (숭인동),"종로구중 : 창신1ㆍ2ㆍ3동, 숭인1ㆍ2동, 충신동, 종로6가 ",02-929-0921,02-2187-8149
종로소방서,신교119안전센터,종로구 자하문로 93 (신교동),"종로구중 : 청운동, 신교동, 효자동, 궁정동, 창성동, 통인동, 누상동, 누하동, 옥인동, 무악동, 체부동, 필운동,  통의동, 홍파동, 교남동, 교북동, 행촌동, 사직동",02-737-8119,02-2187-8145
종로소방서,신영119안전센터,종로구 진흥로 477 (신영동),"종로구중 : 구기동, 평창동, 부암동, 홍지동, 신영동",02-391-0119,02-2187-8148
종로소방서,연건119안전센터,종로구 대학로 91 (연건동),"종로구중 : 혜화동, 명륜동1~4가, 연건동, 동숭동, 원남동, 인의동, 예지동, 연지동, 효제동, 종로5가, 이화동",02-747-8119,02-2187-8147
종로소방서,종로119안전센터,종로구 돈화문로 30 (묘동),"종로구중 : 화 동, 가회동, 운니동, 경운동,  익선동, 낙원동,  훈정동, 봉익동, 묘동, 돈의동, 종로3가, 종로4가, 관수동, 장사동, 와룡동, 재동, 계동, 원서동, 권농동",02-747-7119,02-2187-8146
중랑소방서,망우119안전센터,중랑구 용마산로 524 (망우동),"중랑구중 : 망우동, 면목동[면목본동, 면목3ㆍ8동 중(1~3,5~11,14, 15,17,19, 20, 22, 23,25, 27~31,33, 34,37,42~46,49~57, 80~84, 479, 481~485,489, 490,493, 494,511,514, 515, 1322, 1517,1524, 1527, 1530, 산(1-1, 1-3,8~11,15~17, 19,21~24,29~33)]",02-6981-8972,02-432-0119
중랑소방서,면목119안전센터,중랑구 동일로 475 (면목동),"중랑구중 : 면목동[면목2동, 4ㆍ5동, 7동, 면목3ㆍ8동 중(58~60, 428, 430, 433, 436, 446, 449, 453~456, 458, 459, 461~463, 465~470, 472, 473,491의 1, 496~499, 507, 509,518,564,566,568,570, 572, 573,575, 576,584,592, 593,595~597, 600, 601,604~607,1062? 1066,1068~1070,1073,1075, 1077,1081~1083,1089의 3,1090,1110,1326의1, 1500,1508, 1509, 산(34~36, 40~46)]",02-6981-8962,02-435-0119
중랑소방서,신내119안전센터,중랑구 신내로 183 (신내동),"중랑구중 : 신내동, 묵동(묵1동)",02-6981-8952,02-2187-8334
중부소방서,무학119안전센터,중구 퇴계로 394 (무학동),"중구중 : 황학동, 신당동(신당1동, 신당4~6동), 광희동2가, 장충동1가",02-6981-0159,02-2187-8154
중부소방서,신당119안전센터,중구 다산로8길 2 (신당동),"중구중 : 신당2~3동, 장충동2가, 묵정동, 필동2~3가, 예장동",02-6981-0199,02-2187-8158
중부소방서,을지로119안전센터,중구 을지로45길 43 (신당동),"중구중 : 주교동, 방산동, 을지로3~7가, 오장동, 예관동, 충무로4~5가, 광희동1가, 쌍림동, 입정동, 산림동, 저동2가, 초동, 인현동 1~2가",02-6981-0175,02-2187-8155
중부소방서,충무로119안전센터,중구 충무로 11 (충무로3가),"중구중 : 충무로1~3가, 필동1가, 남학동, 주자동, 태평로1가, 무교동, 다동, 을지로1~2가, 삼각동, 수하동, 장교동, 수표동, 소공동, 명동1~2가, 남대문로1~2가, 남산동1~3가, 저동1가",02-6981-0183,02-2187-8156
중부소방서,회현119안전센터,중구 소공로 30 (회현동2가),"중구중 : 남대문로3~5가, 의주로1~2가, 중림동, 만리동1~2가, 봉래동  1~2가, 회현동1~3가, 남창동, 충정로1가, 정동, 순화동, 서소문동, 태평로2가, 북창동",02-6981-0191,02-2187-8157
