기준일,구,법정동코드,법정동명,전체건물수,사용승인일유효건수,10년미만건물수,10년이상건물수,30년이상건물수,50년이상건물수
2026-04-15,용산구,1117012900,이촌동,8,8,0,8,4,2
2026-04-15,용산구,1117013000,이태원동,128,128,7,121,76,24
2026-04-15,용산구,1117010900,청파동1가,15,15,0,15,13,5
2026-04-15,용산구,1117011000,청파동2가,7,7,1,6,5,4
2026-04-15,용산구,1117011100,청파동3가,5,5,1,4,2,1
2026-04-15,용산구,1117012400,한강로1가,6,6,1,5,4,1
2026-04-15,용산구,1117012500,한강로2가,2,2,0,2,2,1
2026-04-15,용산구,1117012800,한강로3가,15,15,3,12,10,3
2026-04-15,용산구,1117013100,한남동,20,20,1,19,17,3
2026-04-15,용산구,1117011900,효창동,5,5,1,4,3,1
2026-04-15,용산구,1117010100,후암동,63,63,5,58,34,19
2026-04-15,종로구,1111012900,견지동,1,1,0,1,1,1
2026-04-15,종로구,1111014800,계동,4,4,0,4,0,0
2026-04-15,종로구,1111015500,관수동,15,15,5,10,5,3
2026-04-15,종로구,1111013500,관철동,29,29,5,24,19,13
2026-04-15,종로구,1111012800,관훈동,9,9,1,8,6,2
2026-04-15,종로구,1111018000,교북동,1,1,0,1,1,1
2026-04-15,종로구,1111018200,구기동,2,2,0,2,2,0
2026-04-15,종로구,1111013100,권농동,3,3,0,3,1,1
2026-04-15,종로구,1111013700,낙원동,37,37,3,34,12,3
2026-04-15,종로구,1111011800,내수동,2,2,0,2,1,0
2026-04-15,종로구,1111010900,누상동,15,15,2,13,2,0
2026-04-15,종로구,1111011000,누하동,9,9,1,8,4,3
2026-04-15,종로구,1111011700,당주동,2,2,0,2,1,1
2026-04-15,종로구,1111015300,돈의동,7,7,3,4,3,2
2026-04-15,종로구,1111016800,동숭동,30,30,3,27,16,1
2026-04-15,종로구,1111017000,명륜1가,9,9,0,9,6,0
2026-04-15,종로구,1111017100,명륜2가,5,5,1,4,2,1
2026-04-15,종로구,1111017300,명륜3가,14,14,1,13,11,1
2026-04-15,종로구,1111017200,명륜4가,8,8,1,7,5,3
2026-04-15,종로구,1111015100,묘동,2,2,0,2,2,2
2026-04-15,종로구,1111018700,무악동,1,1,0,1,1,0
2026-04-15,종로구,1111015200,봉익동,2,2,0,2,1,0
2026-04-15,종로구,1111018400,부암동,8,8,2,6,3,2
2026-04-15,종로구,1111014400,사간동,3,3,0,3,1,1
2026-04-15,종로구,1111011500,사직동,3,3,0,3,2,0
2026-04-15,종로구,1111014000,삼청동,3,3,1,2,1,1
2026-04-15,종로구,1111014200,소격동,1,1,0,1,1,1
2026-04-15,종로구,1111012400,수송동,3,3,0,3,0,0
2026-04-15,종로구,1111017500,숭인동,74,74,13,61,50,24
2026-04-15,종로구,1111010200,신교동,5,5,0,5,0,0
2026-04-15,종로구,1111012100,신문로2가,2,2,2,0,0,0
2026-04-15,종로구,1111018600,신영동,1,1,1,0,0,0
2026-04-15,종로구,1111016600,연건동,13,13,1,12,8,1
2026-04-15,종로구,1111016000,연지동,7,7,2,5,3,1
2026-04-15,종로구,1111011100,옥인동,6,6,3,3,2,1
2026-04-15,종로구,1111013000,와룡동,5,5,0,5,3,3
2026-04-15,종로구,1111013200,운니동,5,5,0,5,1,0
2026-04-15,종로구,1111015900,원남동,10,10,3,7,2,1
2026-04-15,종로구,1111014900,원서동,6,6,1,5,0,0
2026-04-15,종로구,1111016500,이화동,7,7,2,5,5,1
2026-04-15,종로구,1111013300,익선동,13,13,1,12,4,3
2026-04-15,종로구,1111013600,인사동,2,2,1,1,1,0
2026-04-15,종로구,1111015700,인의동,2,2,0,2,1,0
2026-04-15,종로구,1111015400,장사동,2,2,0,2,2,2
2026-04-15,종로구,1111013800,종로2가,3,3,0,3,3,3
2026-04-15,종로구,1111016100,종로4가,1,1,0,1,1,1
2026-04-15,종로구,1111016300,종로5가,8,8,0,8,8,6
2026-04-15,종로구,1111016400,종로6가,6,6,0,6,4,2
2026-04-15,종로구,1111010500,창성동,1,1,0,1,0,0
2026-04-15,종로구,1111017400,창신동,75,75,3,72,62,37
2026-04-15,종로구,1111010100,청운동,7,7,0,7,3,0
2026-04-15,종로구,1111012200,청진동,1,1,0,1,1,1
2026-04-15,종로구,1111011200,체부동,8,8,0,8,7,2
2026-04-15,종로구,1111016700,충신동,15,15,3,12,11,1
2026-04-15,종로구,1111010600,통의동,1,1,0,1,0,0
2026-04-15,종로구,1111010800,통인동,8,8,0,8,4,1
2026-04-15,종로구,1111013900,팔판동,1,1,0,1,1,1
2026-04-15,종로구,1111018300,평창동,5,5,0,5,3,0
2026-04-15,종로구,1111011300,필운동,5,5,0,5,3,2
2026-04-15,종로구,1111018100,행촌동,9,9,1,8,4,1
2026-04-15,종로구,1111016900,혜화동,3,3,1,2,1,0
2026-04-15,종로구,1111018500,홍지동,8,8,3,5,5,3
2026-04-15,종로구,1111014300,화동,1,1,0,1,1,1
2026-04-15,종로구,1111010400,효자동,3,3,0,3,2,1
2026-04-15,종로구,1111016200,효제동,13,13,2,11,9,3
2026-04-15,중구,1114014500,광희동1가,19,19,3,16,15,8
2026-04-15,중구,1114014600,광희동2가,25,24,3,21,12,4
2026-04-15,중구,1114011500,남대문로2가,1,1,1,0,0,0
2026-04-15,중구,1114011600,남대문로3가,1,1,1,0,0,0
2026-04-15,중구,1114011700,남대문로4가,4,4,1,3,2,0
2026-04-15,중구,1114011800,남대문로5가,9,8,2,6,4,4
2026-04-15,중구,1114012800,남산동1가,7,7,0,7,5,3
2026-04-15,중구,1114012900,남산동2가,57,55,5,50,36,19
2026-04-15,중구,1114013000,남산동3가,4,4,0,4,2,2
2026-04-15,중구,1114011200,남창동,10,10,0,10,7,6
2026-04-15,중구,1114014000,남학동,4,4,2,2,2,2
2026-04-15,중구,1114010200,다동,3,3,0,3,3,3
2026-04-15,중구,1114017300,만리동1가,9,9,2,7,3,3
2026-04-15,중구,1114017400,만리동2가,1,1,1,0,0,0
2026-04-15,중구,1114012600,명동1가,7,7,0,7,4,4
2026-04-15,중구,1114012700,명동2가,19,19,3,16,15,12
2026-04-15,중구,1114010100,무교동,1,1,0,1,1,1
2026-04-15,중구,1114016400,무학동,4,4,0,4,4,2
2026-04-15,중구,1114013600,묵정동,2,2,0,2,2,0
2026-04-15,중구,1114011300,북창동,14,14,2,12,6,6
2026-04-15,중구,1114015700,산림동,6,6,1,5,5,4
2026-04-15,중구,1114016600,서소문동,4,4,4,0,0,0
2026-04-15,중구,1114011100,소공동,3,3,0,3,3,2
2026-04-15,중구,1114016800,순화동,4,4,0,4,0,0
2026-04-15,중구,1114016200,신당동,62,61,7,54,38,22
2026-04-15,중구,1114014700,쌍림동,5,5,3,2,1,0
2026-04-15,중구,1114013500,예관동,2,2,0,2,1,0
2026-04-15,중구,1114014200,예장동,12,11,0,11,6,1
2026-04-15,중구,1114015400,오장동,10,10,1,9,4,2
2026-04-15,중구,1114010400,을지로1가,1,1,0,1,1,1
2026-04-15,중구,1114010500,을지로2가,8,8,3,5,3,1
2026-04-15,중구,1114015500,을지로3가,7,7,0,7,7,4
2026-04-15,중구,1114015000,을지로4가,3,3,0,3,1,0
2026-04-15,중구,1114015100,을지로5가,12,12,6,6,4,2
2026-04-15,중구,1114014800,을지로6가,9,9,2,7,3,1
2026-04-15,중구,1114014900,을지로7가,7,7,1,6,2,2
2026-04-15,중구,1114016000,인현동1가,6,6,2,4,4,2
2026-04-15,중구,1114013400,인현동2가,1,1,0,1,1,0
2026-04-15,중구,1114015600,입정동,1,1,1,0,0,0
2026-04-15,중구,1114010900,장교동,2,2,0,2,0,0
2026-04-15,중구,1114014300,장충동1가,8,8,0,8,8,4
2026-04-15,중구,1114014400,장충동2가,23,23,1,22,14,12
2026-04-15,중구,1114013100,저동1가,1,1,0,1,1,0
2026-04-15,중구,1114016100,저동2가,2,2,1,1,1,0
2026-04-15,중구,1114015200,주교동,11,11,0,11,9,8
2026-04-15,중구,1114014100,주자동,1,1,0,1,1,1
2026-04-15,중구,1114017100,중림동,13,13,1,12,11,9
2026-04-15,중구,1114015900,초동,5,5,2,3,3,3
2026-04-15,중구,1114012400,충무로1가,10,10,1,9,7,6
2026-04-15,중구,1114012500,충무로2가,24,24,4,20,11,8
2026-04-15,중구,1114015800,충무로3가,9,9,0,9,8,7
2026-04-15,중구,1114013200,충무로4가,9,9,3,6,5,0
2026-04-15,중구,1114013300,충무로5가,6,6,1,5,3,3
2026-04-15,중구,1114010300,태평로1가,4,4,0,4,4,4
2026-04-15,중구,1114011400,태평로2가,4,4,1,3,3,2
2026-04-15,중구,1114013700,필동1가,6,6,3,3,2,0
2026-04-15,중구,1114013800,필동2가,7,6,0,6,5,2
2026-04-15,중구,1114013900,필동3가,7,7,0,7,7,2
2026-04-15,중구,1114016500,황학동,35,34,6,28,22,10
2026-04-15,중구,1114012100,회현동1가,38,38,4,34,24,15
2026-04-15,중구,1114012200,회현동2가,10,10,0,10,4,2
2026-04-15,중구,1114012300,회현동3가,6,6,3,3,3,3
2026-04-15,중구,1114016300,흥인동,2,2,0,2,2,0
